Source,Target
Joey,Phoebe
Joey,Rachel
Joey,Ross
Joey,Chandler
Joey,femaleCustomer
Joey,Phoebe
Ross,Phoebe
Ross,Chandler
Ross,Rachel
Ross,Joey
Monica,Ross
Monica,Phoebe
Monica,Chandler
Monica,Rachel
Monica,Joey
Rachel,Jill
Jill,Rachel
Jill,Monica
Jill,Phoebe
Jill,Joey
Jill,Chandler
Jill,Ross
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Gunther,Joey
Jill,Ross
Jill,Phoebe
Ross,Phoebe
Jill,Rachel
Rachel,Ross
Rachel,Phoebe
Jill,Ross
Phoebe,Jill
Phoebe,Ross
Chandler,Monica
Rachel,Phoebe
Joey,Amy
Joey,malePatron
Rachel,Jill
Chandler,Monica
Joey,woman2
Gunther,Joey
Rachel,Ross
Ross,Joey
Rachel,Joey
Monica,Chandler
Jill,Rachel
Ross,Rachel
Ross,Jill
Rachel,Chandler
Rachel,Monica
Chandler,Monica
Ross,Jill
