Source,Target
Chandler,Monica
Chandler,Joey
Ross,Chandler
Ross,Joey
Rachel,Joey
Phoebe,Joey
Phoebe,Ross
Phoebe,Chandler
Phoebe,Rachel
Monica,Rachel
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Phoebe,Rachel
Phoebe,Monica
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Rachel,Joey
Phoebe,Ursula
Chandler,Ross
Chandler,Joey
Ross,Joey
Joey,Rachel
Phoebe,MrsPinello
Phoebe,Rachel
Phoebe,Ross
Phoebe,Monica
Phoebe,Joey
Phoebe,Chandler
Phoebe,Joey
Phoebe,FrankSr
Phoebe,Ross
Phoebe,Chandler
Phoebe,Monica
Phoebe,Rachel
Phoebe,Ross
Phoebe,Joey
RevBong,Rachel
RevBong,Monica
RevBong,Phoebe
RevBong,Joey
RevBong,Chandler
RevBong,Ross
Monica,Phoebe
Joey,Rachel
Joey,Chandler
Phoebe,Rachel
Phoebe,Ross
Ross,Rachel
Ross,Monica
Ross,Chandler
Ross,Phoebe
Phoebe,Rachel
Phoebe,Monica
Phoebe,Chandler
Phoebe,Ross
Monica,Chandler
Monica,Ross
Monica,Rachel
Joey,castingDir_5_13
Chandler,Monica
Phoebe,FrankSr
Joey,Chandler
Joey,Rachel
Joey,Ross
Joey,Monica
Chandler,Joey
Chandler,Rachel
