Source,Target
Phoebe,Mike
Phoebe,Chandler
Phoebe,Ross
Mike,Chandler
Mike,Ross
Chandler,Ross
Ross,Chandler
Monica,Chandler
Monica,Joey
Chandler,Joey
Phoebe,Mike
Phoebe,charityClerk
Mike,charityClerk
Ross,Rachel
Chandler,Monica
Chandler,Phoebe
Monica,Phoebe
Rachel,Ross
Rachel,Emma
Ross,Emma
Phoebe,Mike
Phoebe,charityClerk
Mike,charityClerk
Chandler,Monica
Chandler,Laura
Monica,Laura
Chandler,Joey
Rachel,Ross
Chandler,Monica
Chandler,Joey
Chandler,Laura
Monica,Joey
Monica,Laura
Joey,Laura
Mike,Phoebe
Chandler,Joey
Chandler,Monica
Chandler,Joey
Chandler,Laura
Monica,Joey
Monica,Laura
Joey,Laura
Joey,Laura
Chandler,Laura
Monica,Laura
Chandler,Monica
Mike,Phoebe
Mike,charityClerk
Phoebe,charityClerk
Chandler,Laura
Chandler,Monica
Monica,Laura
Ross,Rachel
