Source,Target
Chandler,Shelly
Rachel,Chandler
Chandler,Phoebe
Chandler,Monica
Chandler,Ross
Chandler,Joey
Chandler,Phoebe
Chandler,Monica
Monica,Paolo
Rachel,Monica
Rachel,Paolo
Ross,Joey
Rachel,Monica
Monica,Jack
Monica,Ross
Monica,Judy
Monica,Jack
Monica,auntLillian
Ross,Monica
Ross,Judy
Ross,Jack
Ross,auntLillian
Judy,Jack
Judy,auntLillian
Jack,auntLillian
Monica,Judy
Monica,Ross
Monica,Ross
Monica,Jack
Monica,Judy
Ross,Jack
Ross,Judy
Jack,Judy
NanasNurse,Judy
Nana,Ross
Nana,Monica
Monica,Ross
Ross,Judy
Ross,Jack
Jack,auntLillian
NanasNurse,Monica
NanasNurse,Ross
Ross,Jack
Ross,Judy
Ross,Monica
Ross,auntLillian
Chandler,Rachel
Chandler,Phoebe
Rachel,Monica
Rachel,Ross
Joey,Phoebe
Joey,Chandler
Joey,Ross
Phoebe,Ross
Phoebe,Monica
Phoebe,Chandler
Phoebe,Rachel
Joey,Chandler
Joey,Rachel
Joey,Ross
Joey,Monica
Joey,Phoebe
Phoebe,Rachel
Ross,Judy
Monica,Jack
Chandler,Shelly
Ross,Judy
Judy,auntLillian
Ross,auntLillian
Ross,Monica
Phoebe,Rachel
Monica,Rachel
Ross,Rachel
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Joey
Chandler,Ross
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Monica,Judy
Monica,Ross
Chandler,Joey
Rachel,Ross
Phoebe,Monica
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Ross,Phoebe
Ross,Judy
Monica,Judy
Chandler,Andrea
Ross,Phoebe
Ross,Monica
Ross,Chandler
Andrea,girl_1_8
Ross,Rachel
Jack,Joey
Rachel,Phoebe
Monica,Judy
Jack,Judy
Rachel,Ross
Rachel,Monica
Ross,Monica
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Chandler,Lowell
Chandler,Brian
