Source,Target
Phoebe,Rachel
Phoebe,Monica
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Joey
Chandler,Ross
Chandler,Joey
Charlie,Ross
Monica,Phoebe
Chandler,Joey
Joey,Rachel
Rachel,Emma
Chandler,Rachel
Joey,girl_10_6
Chandler,Joey
Charlie,Ross
Charlie,DrHobart
Ross,DrHobart
Ross,DrHobart
Phoebe,Monica
Phoebe,Rachel
Monica,Rachel
Chandler,Joey
Chandler,Rachel
Ross,DrHobart
DrLi,DrHobart
DrBiely,DrHobart
Chandler,Rachel
Joey,Chandler
Phoebe,Monica
Phoebe,Rachel
Ross,DrHobart
Rachel,Joey
Rachel,Monica
Phoebe,Rachel
Phoebe,Monica
Chandler,Joey
Joey,Rachel
Joey,Monica
Joey,Phoebe
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Ross,Charlie
Ross,Charlie
Ross,DrHobart
Charlie,DrHobart
Joey,Rachel
Rachel,Monica
