Source,Target
Chandler,Monica
Joey,Monica
Joey,Chandler
Monica,Phoebe
Monica,Chandler
Ross,Monica
Ross,Chandler
Ross,Phoebe
Joey,Monica
Joey,Chandler
Joey,Ross
Joey,Phoebe
Ross,Chandler
Chandler,Joey
Phoebe,Joey
Phoebe,Chandler
Phoebe,Monica
Rachel,Joey
Rachel,Chandler
Rachel,Monica
Rachel,Ross
Chandler,Monica
Joey,Monica
Joey,Phoebe
Joey,Chandler
Rachel,Ross
Rachel,Monica
Rachel,Phoebe
Chandler,Monica
Ross,Rachel
Chandler,Monica
Chandler,hotelClerk
Monica,hotelClerk
Monica,Chandler
Ross,Rachel
Joey,Chandler
Joey,Monica
Monica,Chandler
Joey,Monica
Joey,Chandler
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Joey,Chandler
Joey,Monica
Joey,Phoebe
Monica,Phoebe
Monica,Chandler
Rachel,Joey
Rachel,Monica
Rachel,Chandler
Rachel,Phoebe
Chandler,Joey
Rachel,Phoebe
Ross,Phoebe
Ross,Rachel
Rachel,Joey
Chandler,Monica
Phoebe,Monica
Monica,Rachel
Chandler,Joey
Chandler,Joey
Chandler,Monica
Joey,Monica
Phoebe,Rachel
Phoebe,Chandler
Phoebe,Rachel
Phoebe,Monica
Phoebe,Joey
Monica,Chandler
Monica,Rachel
Monica,Joey
Monica,Phoebe
