Source,Target
Chandler,Ross
Chandler,Monica
Chandler,Phoebe
Chandler,Rachel
Phoebe,Ross
Phoebe,Rachel
Phoebe,Monica
Joey,Chandler
Joey,Casey
Phoebe,Monica
Phoebe,Ross
Monica,Ross
Phoebe,Monica
Ross,Chandler
Ross,Monica
Ross,Phoebe
Ross,Rachel
Monica,Chandler
Monica,Rachel
Monica,Phoebe
Phoebe,Chandler
Phoebe,Monica
Phoebe,Rachel
Chandler,duck
Chandler,Kathy
Chandler,Joey
Chandler,Kathy
Ross,Monica
Ross,Phoebe
Ross,Rachel
Monica,Rachel
Monica,Phoebe
Rachel,Phoebe
Chandler,Joey
Ross,Phoebe
Ross,Chandler
Chandler,Monica
Chandler,Rachel
Chandler,Phoebe
Chandler,Joey
Phoebe,Monica
Phoebe,Rachel
Ross,Phoebe
Ross,Rachel
Ross,Monica
