Source,Target
Ross,Chandler
Ross,Phoebe
Joey,Chandler
Joey,Ross
Joey,Phoebe
Phoebe,Chandler
Phoebe,Ross
Gunther,Joey
Joey,Rachel
Phoebe,Rachel
Phoebe,Ross
Rachel,Ross
Chandler,Phoebe
Chandler,Rachel
Chandler,Ross
Chandler,Joey
Joey,Phoebe
Phoebe,Rachel
Monica,Chandler
Joey,receptionist_6_17
Phoebe,Rachel
Phoebe,Ross
Rachel,Ross
Ross,Monica
Chandler,Ross
Ross,Rachel
Ross,Phoebe
Chandler,Monica
Joey,twinCarl
Joey,Chandler
Joey,Monica
twinCarl,Chandler
twinCarl,Monica
Chandler,Monica
Rachel,Phoebe
Ross,Rachel
Ross,Phoebe
Chandler,Monica
Janice,Chandler
Janice,Monica
Ross,instructor
Chandler,Monica
Phoebe,Rachel
Ross,Phoebe
Ross,Rachel
