Source,Target
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Joey,GloriaTribbiani
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Ross
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Chandler
Phoebe,Rachel
Phoebe,Monica
Phoebe,Chandler
Phoebe,Ross
Monica,Rachel
Monica,Phoebe
Monica,Chandler
Monica,Ross
Rachel,Phoebe
Chandler,Phoebe
Phoebe,Joey
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Monica,Phoebe
Rachel,Monica
Rachel,Phoebe
Joey,Rachel
Joey,Monica
Joey,Phoebe
Rachel,Joey
Rachel,Tag
Rachel,Hilda
Monica,Phoebe
Chandler,Monica
Rachel,Chandler
Rachel,Phoebe
Joey,Terry
Rachel,Tag
Chandler,Monica
Ross,Chandler
Ross,Monica
Chandler,Monica
Phoebe,Rachel
Phoebe,Joey
Rachel,Joey
Joey,producer
Ross,Chandler
Ross,Monica
Chandler,Monica
Phoebe,Rachel
Phoebe,Joey
Rachel,Joey
Tag,Rachel
Tag,Phoebe
Rachel,Phoebe
Rachel,Phoebe
Terry,Joey
nurse1,nurse2
nurse1,Stryker
nurse2,Stryker
Stryker,Joey
Monica,Ross
Monica,Chandler
Ross,Chandler
Tag,Rachel
