Source,Target
Chandler,Monica
Chandler,Phoebe
Monica,Phoebe
Ross,Charlie
Joey,Rachel
Chandler,Monica
Joey,Rachel
Chandler,Monica
Ross,Charlie
Chandler,Monica
Ross,Phoebe
Ross,Chandler
Ross,Monica
Joey,Rachel
Chandler,Joey
Joey,Phoebe
Joey,Chandler
Joey,Monica
Rachel,Ross
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Monica
Rachel,Ross
Rachel,Joey
Joey,Monica
Chandler,Rachel
Joey,Rachel
Ross,Chandler
Ross,Charlie
Phoebe,Ross
Phoebe,Charlie
Monica,Ross
Monica,Chandler
Monica,Phoebe
Monica,Charlie
Phoebe,Monica
Phoebe,Chandler
Chandler,Monica
Chandler,Ross
Chandler,Charlie
Joey,Ross
Joey,Chandler
Ross,Chandler
Chandler,Monica
Mike,Phoebe
Charlie,Ross
Joey,Rachel
Ross,Joey
Ross,Rachel
Rachel,Joey
Joey,Chandler
Mike,Phoebe
Precious,Phoebe
Monica,Chandler
Ross,Rachel
Ross,Emma
Rachel,Emma
Ross,Rachel
Phoebe,Mike
Precious,Phoebe
Precious,Mike
Chandler,Monica
Joey,Rachel
Ross,Rachel
Ross,Joey
Chandler,Monica
