Source,Target
Chandler,Ross
Rachel,Ross
Chandler,Rachel
Chandler,Phoebe
Chandler,Joey
Monica,Rachel
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Monica
Joey,Chandler
Ross,Rachel
Ross,Chandler
Ross,Monica
Ross,Phoebe
Ross,Joey
Chandler,Rachel
Chandler,Joey
Chandler,Ross
Chandler,Phoebe
Ross,Joey
Ross,Rachel
Ross,Phoebe
Monica,Chandler
Monica,Joey
Monica,Phoebe
Monica,Rachel
Monica,Ross
Phoebe,Rachel
Rachel,MrThompson
Phoebe,MrThompson
Rachel,Joey
Ross,Elizabeth
Ross,Elizabeth'sRoommate
Elizabeth,firstDormGuy
Elizabeth,secondDormGuy
Ross,firstDormGuy
Ross,secondDormGuy
MrThompson,EmilAlexander
Rachel,MrThompson
Phoebe,Rachel
Phoebe,Joey
Rachel,Joey
MrThompson,Joey
Monica,Chandler
Monica,Richard
Monica,Lisa
Chandler,Richard
Chandler,Lisa
Richard,Lisa
Phoebe,Rachel
Phoebe,Joey
Rachel,Joey
MrThompson,Joey
Monica,Chandler
Monica,Richard
Monica,Lisa
Chandler,Richard
Chandler,Lisa
Richard,Lisa
Monica,Chandler
Monica,Ross
Chandler,Ross
Rachel,Joey
Joey,Phoebe
Rachel,Phoebe
Phoebe,EmilAlexander
Rachel,MrBowmont
Joey,MrBowmont
Monica,Phoebe
Monica,Joey
Chandler,Phoebe
Chandler,Joey
Joey,Phoebe
Monica,Chandler
Monica,Joey
Monica,Phoebe
Rachel,Monica
Rachel,Phoebe
Ross,Elizabeth
Joey,Chandler
Joey,Monica
Chandler,Monica
Monica,Richard
