Source,Target
Monica,Chandler
Monica,Phoebe
Monica,Joey
Chandler,Phoebe
Chandler,Joey
Monica,Ross
Monica,Rachel
Chandler,Ross
Chandler,Rachel
Ross,Rachel
Phoebe,Monica
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Ross,Joey
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Chandler
Joey,Ross
Phoebe,Joey
Phoebe,Chandler
Phoebe,Monica
Chandler,Monica
Chandler,Joey
Monica,Joey
Ross,Phoebe
Ross,Joey
Ross,Chandler
Ross,Monica
Joey,Ross
Ross,date
Ross,Joey
Ross,Rachel
Ross,Chandler
Ross,Joey
Ross,Phoebe
Ross,Monica
Monica,Joey
Monica,Chandler
Joey,Phoebe
Rachel,Ross
Rachel,Phoebe
Rachel,Joey
Rachel,Monica
Rachel,Chandler
Phoebe,Ross
Phoebe,Rachel
Ross,Rachel
Ross,Joey
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Chandler
Joey,Phoebe
Ross,Rachel
Rachel,Ross
Rachel,Monica
Rachel,Chandler
Chandler,Ross
Rachel,Ross
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Ross,Rachel
Monica,Chandler
