Source,Target
Ross,Monica
Ross,Chandler
Ross,Phoebe
Ross,Rachel
Chandler,Monica
Joey,Ross
Joey,Chandler
Chandler,Joey
Phoebe,Rachel
Phoebe,Monica
Rachel,Monica
Chandler,Ross
Chandler,Joey
Ross,Joey
Gunther,Joey
Monica,Chandler
Joey,Monica
Joey,Chandler
Monica,Rachel
Monica,Phoebe
Rachel,Phoebe
Monica,Rachel
Gunther,Ross
Ross,Chandler
Joey,Ross
Joey,Rachel
Joey,Monica
Joey,Chandler
Joey,womanAtTable
Gunther,Joey
Joey,customer_6_12
Joey,Ross
Joey,Rachel
Joey,Monica
Joey,Chandler
Phoebe,Rachel
Phoebe,Monica
Rachel,Monica
Joey,Gunther
Joey,patron
Chandler,Ross
Chandler,Ross
Chandler,Monica
Ross,Monica
Chandler,Monica
Chandler,Phoebe
Chandler,Rachel
Monica,Phoebe
Monica,Rachel
Phoebe,Rachel
Phoebe,Rachel
Phoebe,Joey
Rachel,Joey
Gunther,Rachel
Rachel,Phoebe
Rachel,Chandler
Rachel,Joey
Monica,Rachel
Monica,Phoebe
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Joey
Chandler,Ross
