Source,Target
Chandler,Phoebe
Chandler,Ross
Joey,Ross
Phoebe,Rachel
PaulStevens,Rachel
PaulStevens,Phoebe
Rachel,Phoebe
Ross,PaulStevens
Ross,Phoebe
Rachel,PaulStevens
Chandler,Phoebe
Chandler,jeweler
Phoebe,jeweler
Ross,Joey
Gunther,Ross
Gunther,Joey
Monica,Rachel
Phoebe,jeweler
Chandler,PaulStevens
Joey,PaulStevens
Chandler,Joey
Chandler,Phoebe
Ross,Joey
PaulStevens,Rachel
Chandler,Phoebe
Chandler,Phoebe
Chandler,jewelryCustomer
Phoebe,jewelryCustomer
Ross,Chandler
Ross,Joey
Chandler,Joey
Rachel,Chandler
Rachel,Ross
Rachel,Joey
Phoebe,Ross
Phoebe,Chandler
Phoebe,Joey
Phoebe,Rachel
