Source,Target
Phoebe,Monica
Chandler,Phoebe
Phoebe,Monica
Phoebe,Chandler
Chandler,Monica
Monica,Alexandra
Phoebe,Alexandra
Joey,Rachel
Chandler,Monica
Chandler,Phoebe
Phoebe,Monica
Rachel,Ross
Rachel,Joey
Ross,Joey
Phoebe,Monica
Joey,Chandler
Joey,Rachel
Joey,Rachel
Joey,doctor_8_14
Rachel,doctor_8_14
Rachel,Joey
Rachel,Ross
Joey,Ross
doctor_8_14,Ross
doctor_8_14,Joey
Ross,Joey
Chandler,Joey
Monica,Phoebe
Ross,Rachel
Joey,Ross
Ross,Joey
Ross,Rachel
Joey,Rachel
Chandler,Monica
Joey,Chandler
Monica,Phoebe
