Source,Target
Chandler,Joey
Phoebe,Chandler
Phoebe,Joey
Emily,Ross
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Rachel,Ross
Rachel,Ross
Ross,Joey
Rachel,Ross
Monica,Phoebe
Monica,Joey
Phoebe,Joey
Rachel,Ross
Rachel,horribleWoman
Rachel,Ross
Rachel,Ross
Rachel,Ross
Rachel,Ross
Ross,Chloe
Rachel,Ross
Rachel,Ross
Chandler,Joey
Rachel,Ross
Rachel,Ross
Monica,Joey
Monica,Phoebe
Joey,Phoebe
Chandler,Phoebe
Chandler,Joey
Chandler,Monica
Rachel,Phoebe
Rachel,Monica
Rachel,Chandler
Rachel,Joey
Rachel,Chandler
Rachel,Monica
Rachel,Phoebe
Phoebe,Monica
Chandler,Monica
Rachel,Ross
Julie,Rachel
Julie,Ross
Rachel,Ross
Rachel,Ross
Rachel,Ross
Rachel,Ross
Rachel,Joey
Rachel,Chandler
Chandler,Joey
Rachel,Ross
Gunther,Ross
Rachel,Ross
Rachel,Ross
Rachel,Ross
Rachel,Chandler
Rachel,Monica
Rachel,Ross
Rachel,Judy
Rachel,Jack
Monica,Chandler
Ross,Joey
Ross,Judy
Ross,Jack
Monica,Ross
Rachel,Ross
Monica,Rachel
Chandler,Joey
Chandler,Phoebe
