Source,Target
Phoebe,Rachel
Phoebe,Monica
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Ross,Chandler
Ross,Joey
Ross,Rachel
Ross,Phoebe
Phoebe,Chandler
Phoebe,Monica
Phoebe,Rachel
Monica,Chandler
Ross,Rachel
Ross,Phoebe
Phoebe,Rachel
Joey,Rachel
Joey,Phoebe
Phoebe,Chandler
Chandler,Monica
Rachel,Monica
Phoebe,Monica
Monica,Chandler
Ross,Chandler
Ross,Rachel
Ross,Phoebe
Ross,Monica
Chandler,Ross
Rachel,Phoebe
Phoebe,Chandler
Chandler,Monica
Chandler,Joey
Chandler,Monica
Joey,Monica
Ross,Rachel
Ross,Phoebe
Ross,Joey
Rachel,Ross
Rachel,Joey
Joey,Phoebe
Joey,Rachel
Joey,Ross
Ross,Phoebe
Monica,Chandler
Monica,Phoebe
Chandler,Phoebe
Rachel,Joey
Rachel,Phoebe
Joey,Phoebe
Ross,uglyNakedGuy
Rachel,Phoebe
Chandler,Monica
Chandler,Phoebe
Chandler,Monica
Joey,Rachel
Joey,Chandler
Joey,Monica
Joey,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Monica
Rachel,Phoebe
Chandler,Monica
Joey,Phoebe
Joey,Rachel
Phoebe,Chandler
Chandler,Monica
Rachel,Phoebe
Rachel,Joey
Phoebe,Joey
Chandler,Phoebe
Chandler,Monica
Chandler,Monica
Chandler,Rachel
Chandler,Phoebe
Chandler,Joey
Phoebe,Monica
Phoebe,Chandler
Joey,Monica
Joey,Chandler
Chandler,Phoebe
Joey,Monica
Joey,Chandler
Monica,Chandler
Rachel,Joey
Ross,Donald
