Source,Target
Rachel,Monica
Rachel,Chandler
Monica,Chandler
Phoebe,Chandler
Phoebe,Monica
Phoebe,Rachel
Phoebe,Joey
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Monica,Richard
Chandler,Joey
Chandler,ScottAlexander
Joey,ScottAlexander
Rachel,Monica
Rachel,Phoebe
Monica,Phoebe
Phoebe,Ryan
Chandler,Joey
Phoebe,Ryan
Ross,Rachel
Ross,Phoebe
Ross,Ryan
Jeannie,Joey
Chandler,Joey
MrDouglas,Chandler
Joey,Chandler
MrDouglas,Joey
Richard,Monica
Chandler,Joey
Phoebe,Rachel
Ryan,Phoebe
Ryan,Rachel
Ryan,Ross
Phoebe,Ross
Phoebe,Rachel
Ryan,Phoebe
Ross,Phoebe
Ross,Ryan
Richard,Monica
Rachel,Ryan
Ross,Ryan
Phoebe,Ryan
Rachel,Ross
Ryan,Phoebe
Rachel,Ross
