Source,Target
Chandler,Ross
Joey,Monica
Joey,Phoebe
Monica,Phoebe
Phoebe,Monica
Phoebe,Monica
Phoebe,Rachel
Monica,Rachel
Joey,receptionist_9_13
Joey,Sonya
Chandler,Ross
Chandler,Ross
Chandler,blonde1
Chandler,blonde2
Ross,blonde1
Ross,blonde2
blonde1,blonde2
Gavin,Rachel
Molly,Rachel
Molly,Rachel
Molly,Gavin
Rachel,Gavin
Rachel,Gavin
Phoebe,Mike
Phoebe,Mike
Phoebe,Monica
Mike,Monica
Ross,woman_9_13
Ross,Chandler
Michelle,Michelle'sFriend
Mike,Kenneth
Mike,Monica
Monica,Phoebe
Mike,Phoebe
Chandler,Joey
Monica,Phoebe
Monica,Mike
Phoebe,Mike
Ross,Rachel
Ross,Michelle
Rachel,Michelle
Chandler,Joey
Chandler,Monica
Chandler,Phoebe
Chandler,Monica
Ross,Rachel
Ross,Michelle
Rachel,Michelle
Ross,Michelle
Ross,Rachel
Rachel,Joey
Chandler,Mike
