Source,Target
Rachel,Joey
Rachel,Monica
Joey,Monica
Joey,Ross
Joey,Chandler
Chandler,Rachel
Joey,interviewer
Monica,Chandler
Phoebe,Rachel
Phoebe,Monica
Phoebe,Chandler
Phoebe,Ross
Joey,interviewer
Gunther,Joey
Gunther,interviewer
interviewer,Joey
Joey,actress(Eva)
Joey,Mike(addGuy)
Joey,Lauren
Joey,Ross
Joey,Julie
Joey,Monica
Joey,Chandler
Joey,Rachel
Joey,interviewer
Phoebe,Rachel
Phoebe,Monica
Phoebe,Chandler
Phoebe,Ross
interviewer,Joey
Joey,Rachel
Chandler,Phoebe
Chandler,Monica
Chandler,Joey
Chandler,Joey
Joey,Ross
Chandler,Ross
Chandler,Joey
Joey,interviewer
Chandler,Monica
Chandler,Ross
Chandler,Rachel
Joey,Ross
Chandler,Joey
Joey,Rachel
Joey,Ross
Rachel,Ross
Joey,Chandler
Rachel,Chandler
Joey,Chandler
Joey,Rachel
Joey,interviewer
Gunther,Joey
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
interviewer,Rachel
interviewer,Monica
interviewer,Phoebe
interviewer,Chandler
interviewer,Ross
interviewer,Joey
Joey,Chandler
Joey,Rachel
Joey,Ross
Joey,Phoebe
Joey,Monica
interviewer,Rachel
interviewer,Monica
interviewer,Phoebe
interviewer,Chandler
interviewer,Ross
interviewer,Joey
Joey,Chandler
Chandler,Phoebe
Chandler,Rachel
Joey,Rachel
Joey,Ross
Joey,Phoebe
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Monica,Rachel
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Joey,interviewer
Chandler,Ross
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Joey,Chandler
Joey,Ross
Joey,Ross
Joey,Phoebe
Joey,Chandler
Joey,Ross
Rachel,Joey
Rachel,Ross
Monica,Joey
Monica,Ross
Phoebe,Joey
Phoebe,Ross
Chandler,Joey
Chandler,Ross
interviewer,Joey
Ross,Chandler
Joey,Rachel
Joey,Phoebe
Joey,woman_6_5
Jill,Rachel
Jill,Monica
Jill,Phoebe
Jill,Joey
Jill,Chandler
Jill,Ross
Joey,Janine
Joey,interviewer
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Joey,interviewer
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
