Source,Target
Rachel,Chandler
Rachel,Gunther
Chandler,Ross
Monica,Ross
Chandler,Ross
Ross,Rachel
Joey,Phoebe
Chandler,Phoebe
Rachel,Gunther
Ross,Sarah
Ross,oldWoman
Phoebe,Joey
Ross,Joey
Ross,Chandler
Ross,Monica
Rachel,Gunther
Rachel,Chandler
Rachel,Joey
Chandler,Joey
Rachel,Gunther
Chandler,Joey
Ross,Chandler
Ross,Monica
Ross,Chandler
Rachel,Chandler
Ross,Chandler
Ross,Rachel
Chandler,Joey
Rachel,Joey
Joey,Monica
Phoebe,xMasCustomer
Phoebe,Joey
Phoebe,Monica
Phoebe,Joey
Monica,Joey
Ross,Charla
Ross,girlElizabeth
Ross,troopLeader
Ross,Chandler
Ross,Rachel
Rachel,Chandler
Ross,Phoebe
Phoebe,Chandler
Phoebe,Monica
Phoebe,Joey
Phoebe,Ross
Phoebe,Rachel
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Phoebe,Rachel
Phoebe,Monica
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Rachel,MrKaplanJr.
Ross,Sarah
