Source,Target
Phoebe,Rachel
Monica,Chandler
Monica,Rachel
Monica,Phoebe
Monica,Joey
Chandler,Rachel
Chandler,Phoebe
Chandler,Joey
Rachel,Phoebe
Rachel,Joey
Phoebe,Joey
Phoebe,Rachel
Phoebe,LeonardGreen
Rachel,LeonardGreen
waiter_8_8,LeonardGreen
Rachel,Phoebe
Rachel,LeonardGreen
Phoebe,LeonardGreen
Mona,Ross
Ross,Chandler
Ross,Joey
Chandler,Joey
Monica,Chandler
Monica,Ross
Monica,Joey
Phoebe,Rachel
Phoebe,LeonardGreen
Rachel,LeonardGreen
Joey,Chandler
Joey,hooker
Chandler,hooker
Ross,Mona
Ross,LeonardGreen
Mona,LeonardGreen
Mona,Ross
Chandler,Joey
Chandler,hooker
Ross,Mona
Ross,LeonardGreen
Joey,Ross
Monica,Stu
Joey,Chandler
hooker,Chandler
hooker,Joey
Monica,Chandler
Monica,Joey
Monica,hooker
Ross,Rachel
Phoebe,Rachel
Phoebe,Ross
Mona,Rachel
Mona,Ross
Rachel,Ross
Monica,Chandler
Rachel,Phoebe
Rachel,LeonardGreen
LeonardGreen,Joey
