Source,Target
Chandler,Joey
Chandler,Monica
Chandler,Phoebe
Joey,Monica
Joey,Phoebe
Rachel,Monica
Rachel,Phoebe
Monica,Phoebe
Rachel,Chandler
Rachel,Joey
Phoebe,Joey
Phoebe,Chandler
Phoebe,Joey
Ross,Phoebe
Ross,Rachel
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Monica,Ross
Joey,Monica
Phoebe,Monica
Ross,Monica
Monica,Richard
Monica,Ross
Richard,Ross
Judy,Ross
Jack,Monica
Monica,Judy
Monica,Judy
Monica,JudysFriend
Judy,JudysFriend
Chandler,Joey
Joey,apartmentGuy
Richard,Jack
Richard,Ross
Richard,RichardsFriend
Jack,RichardsFriend
Jack,Ross
Ross,RichardsFriend
Phoebe,Rachel
Monica,Richard
Judy,Richard
Judy,Jack
Chandler,Joey
Jack,Judy
Monica,Ross
Richard,Monica
Richard,Judy
Monica,Judy
Ross,Judy
Ross,Monica
Ross,Jack
Judy,Jack
Jack,Monica
Jack,Richard
Monica,Richard
Jack,Richard
Rachel,Phoebe
Chandler,Joey
Monica,Richard
Rachel,Monica
Rachel,Richard
Phoebe,Monica
Phoebe,Richard
Phoebe,Rachel
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Richard
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Ross,Joey
Ross,Chandler
Phoebe,Joey
Monica,Joey
Rachel,Joey
Chandler,Joey
Chandler,Joey
