Source,Target
Chandler,Monica
Chandler,Joey
Joey,Monica
Joey,Monica
Gunther,Phoebe
Rachel,Phoebe
Phoebe,Chandler
Phoebe,Monica
Joey,Phoebe
Joey,Monica
Joey,Chandler
Joey,Rachel
Ross,Rachel
Ross,couchSalesman
Rachel,couchSalesman
Phoebe,smokingWoman
Phoebe,Chandler
Phoebe,Monica
Phoebe,Joey
Joey,Monica
Chandler,Joey
Monica,Chandler
Joey,Rachel
Rachel,Chandler
Phoebe,Gary
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Ross,Chandler
Joey,Chandler
Joey,Rachel
Joey,Monica
Joey,Chandler
Joey,Rachel
Joey,Monica
Joey,Phoebe
Gary,Monica
Gary,Joey
Gary,Phoebe
Phoebe,Rachel
Phoebe,Chandler
Phoebe,Monica
Phoebe,Joey
Phoebe,Gary
Gary,Phoebe
Gary,Joey
Gary,Rachel
Gary,Monica
Gary,Chandler
Ross,couchSaleswoman
