Source,Target
Monica,Chandler
Monica,Joey
Joey,Chandler
Phoebe,Monica
Phoebe,Chandler
Phoebe,Joey
Ross,Gunther
Ross,Monica
Ross,Joey
Ross,Chandler
Ross,Phoebe
Joey,Monica
Joey,Chandler
Joey,Phoebe
Rachel,Monica
Phoebe,Joey
Joey,Chandler
Ross,Joey
Ross,Phoebe
Ross,Chandler
Phoebe,Joey
Monica,Joey
Monica,Chandler
Monica,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Phoebe
Danny,Monica
Danny,Rachel
Monica,Rachel
Monica,Phoebe
Phoebe,Rachel
Ross,Emily
Ross,Chandler
Ross,Joey
Phoebe,Joey
Joey,Ross
Monica,Ross
Phoebe,Chandler
Phoebe,Monica
Phoebe,Joey
Chandler,Ross
Phoebe,Ross
Monica,Phoebe
Joey,Monica
Joey,Chandler
Phoebe,Chandler
Phoebe,Monica
Phoebe,Joey
Danny,Rachel
Danny,Rachel
Ross,Chandler
Ross,Phoebe
Ross,Joey
Ross,Chandler
Joey,Ross
Rachel,Monica
Rachel,Ross
Rachel,Joey
Ross,Rachel
Ross,Phoebe
Monica,Rachel
Monica,Phoebe
Monica,Chandler
Monica,Ross
Monica,Joey
Joey,Rachel
Joey,Phoebe
Joey,Chandler
Joey,Ross
Joey,Monica
Monica,Emily
Joey,Emily
Ross,Emily
Chandler,Emily
Joey,Monica
Joey,Ross
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
