Source,Target
Rachel,singingGuy
Rachel,Monica
Rachel,Joey
Monica,Joey
Emily,Ross
Chandler,Joey
Phoebe,Chandler
Phoebe,Joey
Phoebe,Rachel
Monica,Chandler
Monica,Joey
Rachel,Chandler
Rachel,Joey
Phoebe,Chandler
Phoebe,Joey
Phoebe,Rachel
Phoebe,Monica
Chandler,Joey
Gunther,Chandler
Chandler,Joey
Ross,Chandler
Ross,Joey
Phoebe,Chandler
Phoebe,Joey
Monica,Chandler
Monica,Joey
Rachel,Chandler
Rachel,Joey
Phoebe,Chandler
Phoebe,Joey
Rachel,Chandler
Rachel,Joey
Monica,Chandler
Monica,Joey
Phoebe,Rachel
Phoebe,Monica
Phoebe,Chandler
Phoebe,Joey
Phoebe,Monica
Phoebe,Joey
Monica,Rachel
Chandler,Joey
Monica,Chandler
Monica,Joey
Phoebe,Monica
Phoebe,Rachel
Phoebe,Chandler
Phoebe,Joey
Monica,Rachel
Chandler,Joey
Monica,Phoebe
Monica,Chandler
Monica,Joey
Phoebe,Monica
Phoebe,Rachel
Phoebe,Chandler
Phoebe,Joey
Rachel,Joey
Chandler,Joey
Monica,Chandler
Monica,Joey
Rachel,Chandler
Joey,Rachel
Joey,Monica
Joey,Chandler
Emily,Ross
Chandler,Joey
Chandler,Monica
Chandler,Rachel
Chandler,Phoebe
Chandler,Joey
Chandler,Rachel
Chandler,Monica
Chandler,Joey
Rachel,Monica
Phoebe,Rachel
Phoebe,Monica
Ross,Monica
Ross,Joey
Ross,Chandler
Ross,Phoebe
Emily,Monica
Emily,Joey
Emily,Chandler
Emily,Phoebe
Rachel,Ross
Rachel,Emily
Chandler,Emily
Phoebe,Ross
Monica,Ross
Joey,Emily
Joey,Ross
Joey,singingGuy
