Source,Target
Monica,Joey
Chandler,Monica
Chandler,Joey
Joey,Ross
Joey,Phoebe
Joey,Rachel
Ross,Phoebe
Rachel,Joey
Chandler,Monica
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Phoebe,Chandler
Phoebe,Ross
Monica,Chandler
Chandler,Ross
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Ross,ElizabethHornswoggle
Chandler,Joey
Ross,Phoebe
Ross,Chandler
Phoebe,Chandler
Phoebe,Joey
Phoebe,Chandler
Phoebe,Rachel
Phoebe,Monica
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Phoebe,Joey
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Ben,Ross
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Joey
Chandler,Ross
Ben,Monica
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Monica,Ben
Monica,Ross
Monica,Joey
Monica,Phoebe
Ross,ElizabethHornswoggle
Joey,Phoebe
Monica,Joey
Monica,Phoebe
Phoebe,Rachel
Monica,Chandler
Rachel,Monica
Rachel,Chandler
Joey,Ross
Joey,Rachel
Rachel,Chandler
Chandler,Joey
Ross,ElizabethHornswoggle
Ross,Chandler
Ross,Monica
Ross,Joey
Ross,Phoebe
Ross,Rachel
Monica,Rachel
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Chandler,Monica
Phoebe,Rachel
Phoebe,Joey
Rachel,Joey
Rachel,Joey
Rachel,Phoebe
Joey,Phoebe
Chandler,Ross
Chandler,Phoebe
Chandler,Monica
