Source,Target
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Joey,Chandler
Joey,Ross
Chandler,Ross
Ross,Rachel
Phoebe,Rachel
Phoebe,Ross
Monica,Rachel
Monica,Ross
Monica,Phoebe
Chandler,Joey
Janice,Joey
Janice,Chandler
Monica,Rachel
Monica,Ross
Phoebe,Ross
Phoebe,Monica
Joey,Rachel
Joey,Ross
Joey,Monica
Joey,Phoebe
Ross,Rachel
Phoebe,Rachel
Ross,Monica
Rachel,Monica
Rachel,Ross
Rachel,Phoebe
Chandler,Joey
Rachel,Ross
Monica,Phoebe
Janice,Joey
Monica,Rachel
Monica,Phoebe
Monica,Ross
Chandler,Ross
Janice,Joey
Chandler,Joey
Chandler,Janice
Monica,Jack
Ross,Rachel
Ross,Judy
