Source,Target
Joey,Chandler
Monica,restManager
Chandler,Phoebe
Ross,Phoebe
Ross,Chandler
Monica,Chandler
Monica,Phoebe
Monica,Ross
Chandler,Ross
Chandler,Monica
Chandler,Phoebe
Monica,Judy
Monica,Jack
Rachel,Judy
Rachel,Jack
Chandler,Phoebe
Chandler,Gail
Chandler,Phoebe
Chandler,Joey
Ross,Phoebe
Rachel,Ross
Rachel,coffeeShopPatron_2_14
Chandler,Joey
Jack,Judy
Ross,Judy
Ross,Jack
Monica,Ross
Monica,Judy
Monica,Jack
Phoebe,Chandler
Rachel,Chandler
Chandler,Joey
Chandler,Phoebe
Chandler,Rachel
Ross,Monica
Monica,Phoebe
Monica,Chandler
Monica,Joey
Ross,Rachel
Rachel,Judy
Joey,Rachel
Chandler,Rachel
Chandler,Joey
Monica,Rachel
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Judy,Monica
Monica,Jack
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Chandler,Monica
Chandler,Ross
Monica,Rachel
Monica,Jack
Ross,Jack
Ross,Rachel
Monica,Roy
Rachel,Monica
Monica,Rachel
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Chip,Monica
Ross,Judy
Jack,Judy
Ross,Jack
Rachel,Monica
Rachel,Chip
Monica,Roy
Monica,Jack
Monica,Judy
Jack,Judy
Monica,Ross
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Phoebe,Rachel
Phoebe,Monica
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Chandler,Joey
