Source,Target
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Rachel,Monica
Rachel,Phoebe
Phoebe,Chandler
Joey,Ross
Monica,Joey
Ross,Monica
Joey,Jen
Monica,Jen
Ross,Joey
Joey,Monica
Ross,Joey
Ross,Monica
Phoebe,Gary
Monica,Phoebe
Monica,Chandler
Rachel,Joey
Rachel,Chandler
Rachel,Monica
Chandler,Monica
Joey,Ross
Joey,oldMan
Joey,littleGirl
Rachel,MrZelner
Rachel,Ross
Rachel,Joey
Rachel,Monica
Gary,Chandler
Monica,Phoebe
Chandler,Monica
Ross,Jen
Ross,man_5_17
Jen,man_5_17
Monica,Chandler
Chandler,Joey
Joey,Monica
Ross,Joey
Ross,Jen
Rachel,MrZelner
Monica,Chandler
Monica,Phoebe
Monica,Gary
Chandler,Phoebe
Chandler,Gary
Phoebe,Gary
Monica,Chandler
Chandler,Rachel
Chandler,Monica
Rachel,Monica
Ross,Rachel
Ross,Monica
