Source,Target
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
Phoebe,Ross
Phoebe,Chandler
Phoebe,Joey
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Joey
Chandler,Ross
Phoebe,Monica
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Joey,Angela
Rachel,Ross
Angela,Joey
Joey,Monica
Ross,Chandler
Monica,Joey
Bob,Angela
Angela,Joey
Phoebe,Chandler
Chandler,Janice
Phoebe,Tony
Chandler,Janice
Chandler,Phoebe
Rachel,horribleWoman
Ross,horribleWoman
Ross,Rachel
Monica,Joey
Monica,Bob
Monica,Angela
Joey,Bob
Joey,Angela
Bob,Angela
Joey,Bob
Monica,Angela
Phoebe,Chandler
Janice,Chandler
Ross,Rachel
Angela,Bob
Angela,Monica
Bob,Monica
Monica,Joey
Monica,Bob
Joey,Angela
Chandler,Janice
Chandler,Phoebe
Janice,Phoebe
Janice,Chandler
Phoebe,Chandler
Rachel,Ross
Rachel,horribleWoman
Ross,horribleWoman
Ross,Rachel
Rachel,Ross
Rachel,Phoebe
Monica,Joey
Monica,Phoebe
Monica,Ross
Joey,Ross
Monica,Phoebe
Chandler,Phoebe
