Source,Target
Chandler,Joey
Chandler,Phoebe
Chandler,Rachel
Chandler,Ross
Monica,Ross
Monica,Joey
Monica,Phoebe
Monica,Rachel
Monica,Chandler
Tim,Rachel
Tim,Monica
Tim,Phoebe
Tim,Joey
Tim,Chandler
Tim,Ross
Tomas,Rachel
Tomas,Monica
Tomas,Phoebe
Tomas,Joey
Tomas,Chandler
Tomas,Ross
Monica,Ross
Monica,Joey
Monica,Phoebe
Monica,Rachel
Monica,Chandler
Tim,Tomas
Tim,Joey
Rachel,Tomas
Phoebe,Monica
Rachel,Monica
Phoebe,Monica
Monica,Ross
Joey,Monica
Joey,Rachel
Joey,Phoebe
Chandler,Joey
Chandler,Rachel
Chandler,Phoebe
Chandler,Monica
Monica,Ross
Ross,Joey
Chandler,Doug
Chandler,Ross
Chandler,Monica
Chandler,Joey
Joey,Ross
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Chandler,Joey
Rachel,Phoebe
Pete,Hoshi
Pete,Monica
Rachel,Phoebe
Bonnie,Phoebe
Bonnie,Rachel
Chandler,Doug
Chandler,Phil
Chandler,Stevens
Ross,Monica
Pete,TankAbbott
Pete,Monica
Ross,Monica
Phoebe,Ross
Chandler,Ross
Chandler,Doug
Phoebe,Rachel
Ross,Bonnie
Pete,Monica
Doug,Chandler
Joey,Monica
Monica,Ross
Phoebe,Rachel
Phoebe,Monica
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Ross,Rachel
Ross,Monica
Ross,Phoebe
Ross,Joey
Ross,Chandler
