Source,Target
Phoebe,Rachel
Phoebe,Chandler
Joey,Phoebe
Joey,Rachel
Joey,Monica
Joey,Chandler
Joey,Ross
Monica,Rachel
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Ross,Chandler
Monica,Ross
Ross,Rachel
Ross,Phoebe
Rachel,Joey
Ross,Joey
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Joey,Monica
Joey,Chandler
Phoebe,Monica
Chandler,Monica
Chandler,Phoebe
Chandler,duck
Chandler,chick
Ross,Cailin
Rachel,Tommy
Ross,Rachel
Cailin,Rachel
Ross,Tommy
Tommy,theaterPatron
Joey,Chandler
Joey,Rachel
Kate,Joey
director_3_22,Kate
Joey,Chandler
Ross,Chandler
Joey,Lauren
Rachel,Lauren
Pete,Monica
Pete,Cailin
Estelle,Joey
Estelle,Rachel
Estelle,Monica
Chandler,Estelle
Ross,Cailin
director_3_22,Joey
Monica,Joey
director_3_22,Kate
director_3_22,Rachel
director_3_22,Monica
director_3_22,Joey
director_3_22,Chandler
director_3_22,Ross
Joey,Rachel
Joey,Monica
Joey,Chandler
Joey,Ross
Monica,Phoebe
Rachel,Phoebe
Monica,Rachel
Kate,Joey
director_3_22,Kate
director_3_22,Joey
Kate,Joey
Monica,Phoebe
Joey,Monica
Joey,Phoebe
Monica,Joey
Gunther,Chandler
Rachel,Ross
Rachel,Monica
Rachel,Chandler
Ross,Chandler
Ross,Tommy
Rachel,Tommy
Chandler,Tommy
Monica,Chandler
Lauren,Joey
Phoebe,Tommy
Chandler,Tommy
Ross,Tommy
Ross,Rachel
chick,Tommy
duck,Tommy
Chandler,Tommy
Rachel,Tommy
Kate,Joey
Lauren,Joey
Phoebe,Monica
Phoebe,Rachel
Phoebe,Ross
Phoebe,Chandler
