Source,Target
Phoebe,Monica
Phoebe,Ross
Phoebe,Rachel
Phoebe,Chandler
Phoebe,Joey
Ross,Chandler
Ross,Joey
Chandler,Joey
Joey,Monica
Joey,Rachel
Joey,Phoebe
Phoebe,Monica
Phoebe,Rachel
Monica,Rachel
Chandler,Ross
Chandler,Joey
Chandler,Joey
Monica,Rachel
Phoebe,Monica
Phoebe,Rachel
Chandler,Gunther
Joey,Gunther
Chandler,Ross
Chandler,stripper
Ross,stripper
Ross,Joey
Joey,duck
Joey,chick
Joey,stripper
Joey,Chandler
Phoebe,Monica
Phoebe,Rachel
Monica,Rachel
Chandler,Joey
Ross,Chandler
Ross,Joey
Phoebe,Monica
Phoebe,Rachel
Monica,Rachel
Chandler,Ross
Chandler,Joey
Ross,Joey
stripper,Joey
stripper,Ross
stripper,Chandler
Chandler,Ross
Chandler,Joey
Ross,Joey
Phoebe,Monica
Phoebe,Rachel
Monica,Rachel
Chandler,Ross
Chandler,Joey
Chandler,doctor(vet)
Ross,Joey
Ross,doctor(vet)
Joey,doctor(vet)
Joey,duck
Chandler,duck
Ross,duck
Ross,Chandler
Ross,Joey
Chandler,Joey
