Source,Target
Monica,Joey
Monica,Phoebe
Joey,Phoebe
Chandler,Monica
Chandler,Joey
Chandler,Phoebe
Chandler,Chloe
Joey,Chloe
Phoebe,Sergei
Phoebe,Misha
Sergei,Misha
Phoebe,Monica
Ross,Monica
Ross,Rachel
Phoebe,Monica
Chandler,Joey
Rachel,Ross
Rachel,Sophie
Ross,Sophie
Rachel,Ross
Chandler,Chloe
Joey,Chloe
Ross,Chloe
Ross,Chandler
Ross,Joey
Monica,Misha
Phoebe,Misha
Sergei,Misha
Sergei,Phoebe
Phoebe,Monica
Rachel,Mark
Ross,Chandler
Ross,Joey
Rachel,Mark
Rachel,Ross
Chloe,Ross
Monica,Misha
Phoebe,Monica
Sergei,Misha
Phoebe,Misha
Phoebe,Sergei
Chloe,Ross
Phoebe,Sergei
