Source,Target
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Joey,Chandler
Joey,Ross
Chandler,Ross
Monica,Syl
Joey,Ross
Phoebe,Ross
Phoebe,Chandler
Joey,Ross
Paolo,Rachel
Chandler,Joey
Chandler,Ross
Ross,Joey
Monica,Rachel
Phoebe,Rachel
Ross,Chandler
Ross,Joey
Rachel,Monica
Rachel,Phoebe
Ross,Chandler
Chandler,Joey
Carol,Ross
Susan,Ross
Susan,Carol
Ross,Carol
Joey,Chandler
Phoebe,receptionist_1_12
Phoebe,Paolo
Rachel,Ross
Monica,Ross
Monica,Joey
Joey,Ross
Phoebe,Monica
Rachel,Ross
Joey,Chandler
Phoebe,Ross
Phoebe,Monica
Phoebe,Paolo
Phoebe,Monica
Rachel,Phoebe
Phoebe,Ross
Phoebe,Chandler
Phoebe,Joey
Phoebe,Ross
Chandler,Joey
Rachel,Phoebe
Chandler,Ross
Monica,Joey
Monica,Chandler
Phoebe,Rachel
Phoebe,Monica
Monica,Ross
Ross,Joey
Ross,Chandler
Ross,Joey
Ross,Chandler
Ross,Joey
Ross,Monica
Ross,Phoebe
Paolo,Phoebe
Paolo,Monica
Paolo,Ross
Ross,Monica
Ross,Rachel
Monica,Phoebe
Monica,Rachel
Phoebe,Rachel
Ross,Rachel
Ross,Monica
Ross,Joey
Ross,Chandler
Chandler,Joey
Monica,Chandler
Monica,Joey
