Source,Target
Chandler,Monica
Gunther,Joey
Joey,Phoebe
Joey,Rachel
Joey,Ross
Phoebe,Rachel
Phoebe,Ross
Chandler,Monica
Rachel,Ross
Rachel,Gavin
Rachel,Ross
Joey,Phoebe
Joey,director_9_11
Phoebe,director_9_11
Chandler,bossSteve
Gavin,Rachel
Ross,Emma
Rachel,Ross
MrZelner,Gavin
MrZelner,Rachel
Joey,Phoebe
Joey,director_9_11
Phoebe,director_9_11
Rachel,Ross
Chandler,Ross
Monica,Chandler
Monica,Ross
Gavin,Rachel
Chandler,Ross
Chandler,Monica
Monica,Ross
Joey,Phoebe
Joey,soapActor
Joey,director_9_11
Phoebe,director_9_11
Phoebe,femaleExtra1
Phoebe,femaleExtra2
Rachel,Gavin
MrZelner,Gavin
MrZelner,Rachel
Gavin,Rachel
Gavin,Emma
Phoebe,Joey
Joey,director_9_11
Monica,Chandler
Joey,soapActor
Phoebe,Joey
Phoebe,soapActor
Phoebe,director_9_11
