Source,Target
Rachel,Ross
Rachel,Ben
Ross,Ben
Chandler,Monica
Ben,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Joey
Monica,Phoebe
Monica,Joey
Phoebe,Joey
Rachel,Ben
Chandler,Monica
Chandler,Joey
Monica,Joey
Ross,Rachel
Chandler,Monica
Chandler,Joey
Monica,Joey
Carol,Rachel
Ben,Rachel
Joey,Chandler
Joey,Monica
Chandler,Monica
Monica,Chandler
Monica,Joey
Chandler,Joey
Chandler,Monica
Chandler,Joey
Chandler,Monica
Chandler,Joey
Chandler,Phoebe
Monica,Joey
Monica,Phoebe
Joey,Phoebe
Chandler,Monica
Rachel,Ben
Rachel,Ross
Chandler,Joey
Chandler,Monica
Chandler,Joey
Chandler,Phoebe
Monica,Joey
Monica,Phoebe
Monica,Joey
Rachel,Ross
Rachel,Ben
Ross,Ben
