Source,Target
Phoebe,Chandler
Phoebe,Monica
Phoebe,Joey
Rachel,Chandler
Emily,Ross
Emily,Chandler
Emily,Monica
Ross,Joey
Ross,Chandler
Ross,Monica
Chandler,Joey
Ross,Phoebe
Chandler,Phoebe
Joey,Phoebe
Rachel,Joshua
Ross,Rachel
Rachel,Chandler
Rachel,Joey
Rachel,Monica
Rachel,Ross
Emily,Ross
Emily,Monica
Emily,Rachel
Emily,Chandler
Emily,Joey
Chandler,Rachel
Joshua,Rachel
Chandler,Joey
Rachel,Joey
Rachel,Joshua
Ross,Monica
Ross,Emily
Monica,Emily
Phoebe,Joey
Rachel,Joey
Rachel,Monica
Chandler,Monica
Chandler,Rachel
Gunther,Joshua
Rachel,Joey
Rachel,Monica
Joey,Chandler
Joey,Rachel
Rachel,Monica
Ross,Rachel
Ross,Joshua
Emily,Rachel
Emily,Joshua
Rachel,Gunther
Rachel,Emily
Joey,Emily
Rachel,Joshua
Phoebe,Rachel
Phoebe,Monica
Phoebe,Joey
Phoebe,Chandler
Phoebe,Ross
Phoebe,Gunther
Phoebe,Emily
Phoebe,Joshua
Rachel,Joshua
Chandler,Phoebe
Phoebe,Joey
Phoebe,Joey
Ross,Emily
Rachel,Monica
Rachel,Joshua
Rachel,Monica
Rachel,Joey
Rachel,Joshua
Gunther,Emily
Rachel,Joshua
Ross,Rachel
Chandler,Rachel
Joshua,Rachel
Joshua,Chandler
Phoebe,Joey
