Source,Target
Rachel,Joey
Monica,Ross
Monica,Phoebe
Ross,Phoebe
Chandler,Monica
Chandler,Phoebe
Chandler,Ross
Rachel,Joey
director_9_19,Joey
Joey,Olivia
Rachel,director_9_19
Rachel,Chase
Monica,customer1
Monica,customer2
Monica,customer3
Monica,Phoebe
Monica,Phoebe
Chandler,Ross
Chandler,receptionist_9_19
Chandler,Ross
Rachel,Joey
Chandler,Ross
Rachel,Monica
Monica,Phoebe
Rachel,Phoebe
Monica,Phoebe
Chandler,Ross
Chandler,receptionist_9_19
Monica,Phoebe
Rachel,Joey
Chandler,Monica
Ross,Chandler
Ross,Monica
