Source,Target
Chandler,Monica
Chandler,Phoebe
Ross,Monica
Ross,Phoebe
Joey,Monica
Joey,Phoebe
Rachel,Monica
Rachel,Phoebe
Monica,Phoebe
Monica,Ross
Chandler,Ross
Phoebe,Ross
Phoebe,Chandler
Monica,Ross
Monica,Chandler
Joey,Ross
Joey,Chandler
Joanna,Rachel
Joanna,Sophie
Joey,Chandler
Ross,Chandler
Chandler,Gandalf
Rachel,MrPosner
Rachel,MrsLynch
Joanna,MrPosner
Joanna,MrsLynch
Rachel,Joanna
Monica,Phoebe
Monica,Alessandro
Rachel,Joanna
Sophie,Joanna
Sophie,Rachel
Joey,Ross
Joey,Chandler
Ross,Chandler
Rachel,Monica
Rachel,Phoebe
Phoebe,Monica
Joey,Ross
Chandler,Ross
Joey,Chandler
Gunther,Chandler
Gunther,Ross
Gunther,Joey
Phoebe,Monica
Rachel,MrsLynch
Rachel,Sophie
Monica,Alessandro
