Source,Target
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Joey
Chandler,Ross
Monica,Rachel
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Rachel,Phoebe
Rachel,Monica
Phoebe,Monica
Phoebe,Rachel
Chandler,Monica
Chandler,Ross
Chandler,Joey
Ross,Joey
Phoebe,Rachel
Rachel,Emma
Ross,Joey
Monica,Chandler
Ross,Joey
Phoebe,Rachel
Phoebe,Ross
Phoebe,Joey
Phoebe,Emma
Rachel,Ross
Rachel,Joey
Rachel,Emma
Ross,Joey
Ross,Emma
Joey,Emma
Chandler,Monica
Phoebe,Rachel
Phoebe,Ross
Phoebe,Joey
Rachel,Ross
Rachel,Joey
Ross,Joey
Ross,Monica
Monica,Chandler
Rachel,Monica
Monica,Chandler
Ross,Chandler
Ross,Joey
Rachel,Monica
Ross,Joey
Phoebe,Rachel
Monica,Rachel
Rachel,Joey
Ross,Chandler
Chandler,Monica
Phoebe,Rachel
Joey,Ross
Joey,Chandler
Joey,Monica
Chandler,Joey
Monica,Rachel
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Joey
Chandler,Ross
Monica,Rachel
Monica,Phoebe
Ross,Rachel
Ross,Phoebe
Ross,Chandler
Joey,Chandler
Joey,Ross
Joey,Rachel
Joey,Monica
Joey,Chandler
Monica,Joey
Joey,Chandler
Monica,Chandler
Monica,Rachel
Monica,Phoebe
Monica,Joey
Monica,Chandler
Monica,Ross
Chandler,Rachel
Chandler,Monica
Chandler,Phoebe
Chandler,Joey
Chandler,Ross
Monica,Chandler
Joey,Rachel
Joey,Monica
Joey,Phoebe
Joey,Chandler
Joey,Ross
