Source,Target
Ross,Chandler
Ross,Joey
Chandler,Joey
Chandler,Joey
Ross,Chandler
Ross,Joey
Rachel,Joey
Monica,Phoebe
Chandler,Phoebe
Monica,Phoebe
Chandler,Ross
Joey,Emma
Joey,Rachel
Chandler,Monica
Chandler,Ross
Monica,Phoebe
Joey,Rachel
Joey,Emma
Monica,Phoebe
Monica,Phoebe
Monica,Mike
Phoebe,Mike
Ross,Chandler
Rachel,Joey
Monica,Mike
Monica,Phoebe
Mike,Phoebe
Manny,Phoebe
Manny,Mike
Monica,Manny
Ross,Chandler
Ross,Monica
TomGordon,Chandler
TomGordon,Monica
Chandler,Ross
TomGordon,Monica
TomGordon,Chandler
Chandler,Monica
Chandler,Ross
Monica,Ross
Kori,Chandler
Kori,Monica
Kori,Ross
Ross,Monica
Ross,Chandler
Ross,Judy
