Source,Target
Chandler,Joey
Monica,Joey
Ross,Monica
Phoebe,Ross
Monica,Ross
Monica,Phoebe
Monica,Chandler
Phoebe,Joey
Phoebe,Monica
Chandler,Monica
Rachel,Sophie
Rachel,Chandler
Chandler,Joanna
Sophie,Joanna
Monica,Chandler
Monica,Ross
Phoebe,Monica
Phoebe,Chandler
Phoebe,Ross
Monica,Chandler
Rachel,Ross
Rachel,Chandler
Phoebe,Monica
Phoebe,Ross
Joey,Kate
Lauren,Joey
director_3_20,Kate
director_3_20,Joey
Phoebe,Rachel
Phoebe,Ross
Phoebe,Monica
Monica,Rachel
Monica,Ross
Chandler,Rachel
Rachel,Joanna
Sophie,Joanna
Sophie,Rachel
Kate,Joey
director_3_20,Kate
director_3_20,Joey
Joey,Lauren
Joey,Kate
Joey,Monica
Joey,Ross
Chandler,Rachel
Monica,Rachel
Joanna,Rachel
Joanna,Sophie
Joanna,Rachel
Chandler,Rachel
Monica,Ross
Joey,Kate
Lauren,Kate
Ross,Rachel
Monica,Phoebe
Chandler,Joanna
Rachel,Chandler
Rachel,Joanna
Chandler,Joanna
