Source,Target
Monica,Ben
Ross,Ben
Ross,Chandler
Chandler,Ben
Monica,Ross
Joey,Ben
Monica,Chandler
Monica,Chandler
Ross,Chandler
Ross,Joey
Ross,Monica
Monica,Ross
Ross,Joey
Ross,Chandler
Ross,Monica
Joey,Chandler
Phoebe,Rachel
Rachel,Terry
Chandler,Joey
Chandler,Ben
Joey,woman_2_6
Chandler,woman_2_6
Rachel,Phoebe
Rachel,Terry
Rachel,Phoebe
Monica,Ross
DrKarl,Ross
DrKarl,Monica
Monica,Ross
DrKarl,Ross
Joey,girl1InBus
Joey,girl2InBus
Chandler,girl1
Chandler,girl2
Ben,girl1
Ben,girl2
Joey,Chandler
Ross,DrKarl
Monica,DrKarl
Ross,Monica
Stephanie,Phoebe
Chandler,transitOff.Guy
Joey,transitOff.Guy
Chandler,Joey
Rachel,Stephanie
Phoebe,Stephanie
Chandler,Joey
Chandler,transitOff.Guy
Joey,transitOff.Guy
Chandler,Joey
Stephanie,Rachel
Phoebe,Rachel
Phoebe,FrankJr
Monica,Ross
Monica,Joey
Monica,Ben
Monica,Chandler
Joey,Chandler
Ross,Ben
Ross,Chandler
Ross,Joey
Ross,Monica
Monica,Ben
Joey,Chandler
Stephanie,Phoebe
