Source,Target
Rachel,Monica
Rachel,Phoebe
Rachel,Joey
Rachel,Chandler
Rachel,Ross
Phoebe,Rachel
Phoebe,Ross
Monica,Ross
Chandler,Ross
Gunther,Joey
Gunther,Monica
Joey,Monica
Joey,Chandler
Joey,Monica
Chandler,Monica
Phoebe,Monica
Phoebe,Chandler
Monica,Chandler
Joey,passerby
Joey,woman_6_5
Rachel,Phoebe
Ross,Rachel
Monica,Phoebe
Chandler,Phoebe
Chandler,Monica
Chandler,ChandlerBuffay
Monica,LeslieBuffay
Phoebe,FrankJrJr
Phoebe,ChandlerBuffay
Phoebe,LeslieBuffay
Phoebe,Chandler
Phoebe,Monica
Monica,LeslieBuffay
Monica,FrankJrJr
Monica,ChandlerBuffay
Monica,Chandler
Chandler,LeslieBuffay
Chandler,FrankJrJr
Chandler,LeslieBuffay
Joey,Chandler
Joey,Monica
Joey,Phoebe
Chandler,Monica
Joey,Guy1
Joey,porscheOwner
Monica,Phoebe
Chandler,Monica
Chandler,Phoebe
Monica,Phoebe
Monica,Chandler
Chandler,Phoebe
Ross,Rachel
Ross,judge
Rachel,judge
Monica,Chandler
Joey,Chandler
Joey,Monica
Chandler,Phoebe
Chandler,Monica
Phoebe,Monica
Joey,Guy2
Ross,Rachel
Ross,Joey
Rachel,Joey
Phoebe,FrankJrJr
Phoebe,LeslieBuffay
Phoebe,ChandlerBuffay
Chandler,Monica
Chandler,Phoebe
Monica,Phoebe
Ross,Rachel
Joey,woman_6_5
